dpt,massif
Ain,Jura-Alpes Nord
Aisne,Bassin Parisien Nord
Allier,Massif Central
Alpes-de-Haute-Provence,Alpes
Alpes-Maritimes,Alpes
Ardèche,Massif Central
Ardennes,Nord-Est
Ariège,Pyrénées
Aube,Nord-Est
Aude,Méditerranée
Aveyron,Massif Central
Bas-Rhin,Nord-Est
Bouches-du-Rhône,Méditerranée
Calvados,Bassin Parisien Nord
Cantal,Massif Central
Charente,Sud-Ouest
Charente-Maritime,Sud-Ouest
Cher,Bassin Parisien Sud
Corrèze,Massif Central
Corse-du-Sud,Massif Corse
Côte-d'Or,Nord-Est
Côtes-d'Armor,Massif Armoricain
Creuse,Massif Central
Deux-Sèvres,Bassin Parisien Sud
Dordogne,Sud-Ouest
Doubs,Jura-Alpes Nord
Drôme,Alpes
Essonne,Bassin Parisien Nord
Eure,Bassin Parisien Nord
Eure-et-Loir,Bassin Parisien Nord
Finistère,Massif Armoricain
Gard,Méditerranée
Gers,Sud-Ouest
Gironde,Sud-Ouest
Haut-Rhin,Nord-Est
Haute-Corse,Massif Corse
Haute-Garonne,Pyrénées
Haute-Loire,Massif Central
Haute-Marne,Nord-Est
Haute-Saône,Jura-Alpes Nord
Haute-Savoie,Alpes
Haute-Vienne,Massif Central
Hautes-Alpes,Alpes
Hautes-Pyrénées,Pyrénées
Hauts-de-Seine,Bassin Parisien Nord
Hérault,Méditerranée
Ille-et-Vilaine,Massif Armoricain
Indre,Bassin Parisien Sud
Indre-et-Loire,Bassin Parisien Sud
Isère,Alpes
Jura,Jura-Alpes Nord
Landes,Sud-Ouest
Loir-et-Cher,Bassin Parisien Sud
Loire,Massif Central
Loire-Atlantique,Massif Armoricain
Loiret,Bassin Parisien Sud
Lot,Sud-Ouest
Lot-et-Garonne,Sud-Ouest
Lozère,Massif Central
Maine-et-Loire,Bassin Parisien Sud
Manche,Massif Armoricain
Marne,Nord-Est
Mayenne,Bassin Parisien Sud
Meurthe-et-Moselle,Nord-Est
Meuse,Nord-Est
Morbihan,Massif Armoricain
Moselle,Nord-Est
Nièvre,Bassin Parisien Sud
Nord,Bassin Parisien Nord
Oise,Bassin Parisien Nord
Orne,Bassin Parisien Nord
Paris,Bassin Parisien Nord
Pas-de-Calais,Bassin Parisien Nord
Puy-de-Dôme,Massif Central
Pyrénées-Atlantiques,Pyrénées
Pyrénées-Orientales,Pyrénées
Rhône,Jura-Alpes Nord
Saône-et-Loire,Massif Central
Sarthe,Bassin Parisien Sud
Savoie,Alpes
Seine-et-Marne,Bassin Parisien Nord
Seine-Maritime,Bassin Parisien Nord
Seine-Saint-Denis,Bassin Parisien Nord
Somme,Bassin Parisien Nord
Tarn,Sud-Ouest
Tarn-et-Garonne,Sud-Ouest
Territoire de Belfort,Jura-Alpes Nord
Val-d'Oise,Bassin Parisien Nord
Val-de-Marne,Bassin Parisien Nord
Var,Méditerranée
Vaucluse,Méditerranée
Vendée,Massif Armoricain
Vienne,Bassin Parisien Sud
Vosges,Nord-Est
Yonne,Bassin Parisien Sud
Yvelines,Bassin Parisien Nord
