"species_name","observed_ratio","pred_prob","pred_prob_logit","sd_dpt","MOR_dpt","CI_lower","CI_upper","skipped","reason_skipped"
"Abies alba",0.166666666666667,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Betula pendula",0,NA,NA,NA,NA,NA,NA,TRUE,"only 1 department"
"Convallaria majalis",0.285714285714286,0.28571428632209,-0.916290728895914,0,1,0.28571428632209,0.28571428632209,FALSE,NA
"Filipendula ulmaria",0.178571428571429,7.20365539054676e-05,-9.53826483550062,18.2653989025747,36878063.1055527,2.04062304477849e-20,0.999999999996068,FALSE,NA
"Narcissus jonquilla",0.5,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Narcissus poeticus",0.5,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Narcissus pseudonarcissus",0.46875,0.46875,-0.125163142954004,1.09146741747749e-10,1.00000000010411,0.468749999946728,0.468750000053273,FALSE,NA
"Taraxacum officinale",0.0416666666666667,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Ophrys spp.",1,NA,NA,NA,NA,NA,NA,TRUE,"only 1 department"
"Urtica dioica",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Achillea erba-rotta",0,NA,NA,NA,NA,NA,NA,TRUE,"only 1 department"
"Arnica montana",0.8,0.86462310400242,1.8542309833176,1.10294577364196,2.86361750634482,0.423714642900479,0.982294306319216,FALSE,NA
"Artemisia eriantha",1,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Artemisia genipi",0.875,0.874999990645725,1.94591006353051,0,1,0.874999990645725,0.874999990645725,FALSE,NA
"Artemisia umbelliformis",0.727272727272727,0.909420115756812,2.30657500078189,2.1657013052203,7.89188032928333,0.125845787336725,0.998573849934138,FALSE,NA
"Euphorbia spinosa",1,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Juniperus oxycedrus",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Lavandula angustifolia",0.1,0.100000000000006,-2.19722457733615,1.16471351660485e-10,1.0000000001111,0.0999999999794604,0.100000000020552,FALSE,NA
"Plantago lanceolata",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Rosa canina",0.166666666666667,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Rosa spp.",0.25,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Salvia rosmarinus",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Thymus vulgaris",0.160714285714286,0.159073570819474,-1.66513737122088,0.158821175225126,1.16357534861318,0.121700250790664,0.205242004453717,FALSE,NA
"Artemisia spp. (genepis)",0.8,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Gentiana lutea",0.586206896551724,0.586504753347449,0.349534753661154,0.0589054171053571,1.05779770962592,0.558254280257144,0.614197124187029,FALSE,NA
"Leontopodium nivale",1,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Origanum vulgare",0.25,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Boletus edulis",0.272727272727273,0.272727273232473,-0.980829250464673,0,1,0.272727273232473,0.272727273232473,FALSE,NA
"Fagus sylvatica",0,NA,NA,NA,NA,NA,NA,TRUE,"only 1 department"
"Robinia pseudoacacia",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Allium ursinum",0.428571428571429,0.452508240341237,-0.190541437052782,1.87620033927269,5.98755532482683,0.0204743788521828,0.970310170218269,FALSE,NA
"Vaccinium myrtillus",0.459459459459459,0.458677488561102,-0.165667916875957,1.09334851523208,2.83752157820918,0.0904106629111457,0.87839253052603,FALSE,NA
"Castanea sativa",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Thymus serpyllum",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Cardamine pratensis",0,NA,NA,NA,NA,NA,NA,TRUE,"only 1 department"
"Craterellus cornucopioides",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Loncomelos pyrenaicus",0.428571428571429,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Buxus sempervirens",0,NA,NA,NA,NA,NA,NA,TRUE,"only 1 department"
"Clinopodium grandiflorum",0.75,0.749999999990972,1.09861228861996,0,1,0.749999999990972,0.749999999990972,FALSE,NA
"Crataegus monogyna",0,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
"Fraxinus excelsior",0.2,NA,NA,NA,NA,NA,NA,TRUE,"constant response"
