ESPECE_nom,CD_REF,C,S,R,CSR,strategy_class
Abies alba,79319,10.9715278592691,89.0284721407309,0,11 : 89 : 0 %,S
Achillea erba-rotta,79887,6.96209943500773,56.1987899280481,36.8391106369442,7 : 56 : 37 %,SR
Allium ursinum,81541,48.9468238912052,0,51.0531761087948,49 : 0 : 51 %,CR
Allium victorialis,81543,64.7481983151208,0,35.2518016848792,65 : 0 : 35 %,C/CR
Antennaria dioica,82796,3.76798689757225,53.4978009170539,42.7342121853739,4 : 53 : 43 %,SR
Arbutus unedo,83481,45.8311682715787,54.1688317284213,0,46 : 54 : 0 %,CS
Armeria maritima,83832,11.0748503073157,67.5185354330713,21.406614259613,11 : 68 : 21 %,S/SR
Arnica montana,83874,56.0975805957202,0,43.9024194042798,56 : 0 : 44 %,CR
Arundo donax,84173,56.3992318760521,37.9805543379931,5.62021378595472,56 : 38 : 6 %,CS
Asparagus acutifolius,84264,0,100,0,0 : 100 : 0 %,S
Bellis perennis,85740,31.4850100124616,0,68.5149899875384,31 : 0 : 69 %,R/CR
Beta vulgaris,85820,78.1160036325416,0,21.8839963674584,78 : 0 : 22 %,C/CR
Betula pendula,85903,25.0396043418746,57.0940864709609,17.8663091871645,25 : 57 : 18 %,S/CSR
Betula pubescens,85904,25.7554052289119,45.5597623224393,28.6848324486487,26 : 46 : 29 %,S/CSR
Buxus sempervirens,87143,7.83701297079034,92.1629870292097,0,8 : 92 : 0 %,S
Calluna vulgaris,87501,0,85.8763191776163,14.1236808223837,0 : 86 : 14 %,S
Castanea sativa,89304,47.7259005226243,43.8546280957308,8.41947138164492,48 : 44 : 8 %,CS
Clinopodium nepeta,91910,6.69832557837189,55.5071414226762,37.7945329989519,7 : 56 : 38 %,SR
Colchicum autumnale,92127,57.7850947260443,0,42.2149052739557,58 : 0 : 42 %,CR
Convallaria majalis,92282,50.5240337436319,10.8906361498959,38.5853301064722,51 : 11 : 39 %,CR/CSR
Cornus mas,92497,24.2812355796338,38.6855252158101,37.0332392045561,24 : 39 : 37 %,SR/CSR
Crataegus laevigata,92864,25.6413589016537,55.5973027129903,18.761338385356,26 : 56 : 19 %,S/CSR
Crataegus monogyna,92876,15.7127296433796,71.4837418474813,12.8035285091391,16 : 71 : 13 %,S/CS
