ESPECE_nom,CD_REF,choix_type_bio,nom_baseflor,type_bio_baseflor,formation_vg_baseflor,type_bio_cbnmed,commentaire
Abies alba,79319,phanérophyte,Abies alba Mill. ,A-semp,magnophanérophytaie,Phanérophyte,
Achillea erba-rotta,79887,hémicryptophyte,Achillea erba-rotta All.,heri,hémicryptophytaie,Hémicryptophyte,
Achillea millefolium,79908,hémicryptophyte,Achillea millefolium L.,hsto,hémicryptophytaie,Hémicryptophyte,
Aegopodium podagraria,80322,hémicryptophyte,Aegopodium podagraria L.,hsto,hémicryptophytaie,Hémicryptophyte,
Agaricus campestris,NA,NA,NA,NA,NA,NA,champignon
Allium ursinum,81541,géophyte,Allium ursinum L. ,gbul,hémicryptophytaie,Géophyte à bulbe,
Allium victorialis,81543,géophyte,Allium victorialis L.,gbul,hémicryptophytaie,Géophyte à rhizome,
Aloe vera,639239,NA,NA,NA,NA,NA,
Amanita caesarea,NA,NA,NA,NA,NA,NA,champignon
Antennaria dioica,82796,hémicryptophyte,Antennaria dioica (L.) Gaertn.,hsto,hémicryptophytaie,Hémicryptophyte,
Arbutus unedo,83481,phanérophyte,Arbutus unedo L.,a-semp,magnophanérophytaie,Phanérophyte,
Aristolochia rotunda,83793,géophyte,Aristolochia rotunda L.,gtub,hémicryptophytaie,Géophyte à tubercule,
Armeria maritima,83832,hémicryptophyte,Armeria maritima (Mill.) Willd.,hces,hémicryptophytaie,NA,
Arnica montana,83874,hémicryptophyte,Arnica montana L.,hros,hémicryptophytaie,Hémicryptophyte,
Artemisia eriantha,83969,hémicryptophyte,Artemisia eriantha Ten.,hces,hémicryptophytaie,Chaméphyte,
Artemisia genipi,83973,hémicryptophyte,Artemisia genipi Weber,hces,hémicryptophytaie,Chaméphyte,
Artemisia glacialis,83974,hémicryptophyte,Artemisia glacialis L.,hces,hémicryptophytaie,Chaméphyte,
Artemisia spp. ,NA,NA,NA,NA,NA,NA,
Artemisia umbelliformis,84053,hémicryptophyte,Artemisia umbelliformis Lam.,hces,hémicryptophytaie,Chaméphyte,
Arundo donax,84173,géophyte,Arundo donax L.,Hsto,hémicryptophytaie,Géophyte à rhizome,
Asparagus acutifolius,84264,phanérophyte,Asparagus acutifolius L.,b-lia,nanophanérophytaie,Phanérophyte,
Bellis perennis,85740,hémicryptophyte,Bellis perennis L. ,hros,hémicryptophytaie,Hémicryptophyte,
Beta vulgaris,85820,hémicryptophyte,Beta vulgaris L. ,Hbis(Test),hémicryptophytaie,Hémicryptophyte,
Betula pendula,85903,phanérophyte,Betula pendula Roth,A-cad,magnophanérophytaie,Phanérophyte,
Betula pubescens,85904,phanérophyte,Betula pubescens Ehrh.,A-cad,magnophanérophytaie,Phanérophyte,
Betula spp.,NA,NA,NA,NA,NA,NA,
Boletus edulis,NA,NA,NA,NA,NA,NA,champignon
Bunium bulbocastanum,86983,géophyte,Bunium bulbocastanum L.,gtub,géophytaie,Géophyte à tubercule,
Buxus sempervirens,87143,phanérophyte,Buxus sempervirens L.,B-semp,microphanérophytaie,Phanérophyte,
Calluna vulgaris,87501,chaméphyte,Calluna vulgaris (L.) Hull,Cfru-semp,magnochaméphytaie,Chaméphyte,
Cantharellus cibarius,NA,NA,NA,NA,NA,NA,champignon
Cardamine hirsuta,87930,thérophyte,Cardamine hirsuta L.,tver,thérophytaie,Thérophyte,
Cardamine pratensis,87964,hémicryptophyte,Cardamine pratensis L.,hros,hémicryptophytaie,Hémicryptophyte,
Carlina acanthifolia,89145,hémicryptophyte,Carlina acanthifolia All. ,hbis,hémicryptophytaie,Hémicryptophyte,
Castanea sativa,89304,phanérophyte,Castanea sativa Mill.,A-cad,magnophanérophytaie,Phanérophyte,
Clinopodium grandiflorum,91904,hémicryptophyte,Clinopodium grandiflorum (L.) Kuntze,hsto,hémicryptophytaie,Hémicryptophyte,
Clinopodium nepeta,91910,hémicryptophyte,Clinopodium nepeta (L.) Kuntze,hsto,hémicryptophytaie,Hémicryptophyte,
Colchicum autumnale,92127,géophyte,Colchicum autumnale L.,gbul,hémicryptophytaie,Géophyte à corme,
Conopodium majus,92242,géophyte,Conopodium majus (Gouan) Loret,gbul,hémicryptophytaie,Géophyte,
Convallaria majalis,92282,géophyte,Convallaria majalis L.,grhi,hémicryptophytaie,Géophyte à rhizome,
Cormus domestica,92488,phanérophyte,NA,NA,NA,Phanérophyte,
Cornus mas,92497,phanérophyte,Cornus mas L.,B-cad,microphanérophytaie,Nanophanérophyte,
Crataegus azarolus,92824,phanérophyte,Crataegus azarolus L. ,B-cad,microphanérophytaie,Nanophanérophyte,
Crataegus laevigata,92864,phanérophyte,Crataegus laevigata (Poir.) DC. ,B-cad,microphanérophytaie,Phanérophyte,
Crataegus monogyna,92876,phanérophyte,Crataegus monogyna Jacq. ,B-cad,microphanérophytaie,Phanérophyte,
Crataegus spp.,NA,NA,NA,NA,NA,NA,
Craterellus cornucopioides,NA,NA,NA,NA,NA,NA,champignon
Crithmum maritimum,93190,hémicryptophyte,Crithmum maritimum L.,hces,hémicryptophytaie,Hémicryptophyte,
Cypripedium calceolus,94041,géophyte,Cypripedium calceolus L.,grhi,hémicryptophytaie,Géophyte à rhizome,
Dioscorea communis,611652,géophyte,Dioscorea communis (L.) Caddick & Wilkin,Gbul-lia,nanophanérophytaie,Géophyte,
Dioscorea communis,611652,géophyte,Dioscorea communis (L.) Caddick & Wilkin,Gbul-lia,nanophanérophytaie,Géophyte à tubercule,
Diplotaxis erucoides,95111,thérophyte,Diplotaxis erucoides (L.) DC.,tver,thérophytaie,Thérophyte,
Equisetum arvense,96508,géophyte,Equisetum arvense L.,grhi,hémicryptophytaie,Géophyte à rhizome,
Erica cinerea,96667,chaméphyte,Erica cinerea L.,Cfru-semp,parvochaméphytaie,Chaméphyte,
Erica spp. ,NA,NA,NA,NA,NA,NA,
Eruca vesicaria,97041,thérophyte,Eruca vesicaria (L.) Cav.,tver,thérophytaie,Thérophyte,
Eryngium alpinum,97133,hémicryptophyte,Eryngium alpinum L.,hros,hémicryptophytaie,Hémicryptophyte,
Euphorbia spinosa,97673,chaméphyte,Euphorbia spinosa L. ,cfru,hémicryptophytaie,Chaméphyte,
Fagus sylvatica,97947,phanérophyte,Fagus sylvatica L. ,A-cad,magnophanérophytaie,Phanérophyte,
Ficus carica,98653,phanérophyte,Ficus carica L. ,B-semp,microphanérophytaie,Phanérophyte,
Filipendula ulmaria,98717,hémicryptophyte,Filipendula ulmaria (L.) Maxim.,Hros,hémicryptophytaie,Hémicryptophyte,
Foeniculum vulgare,98756,hémicryptophyte,Foeniculum vulgare Mill.,Heri,hémicryptophytaie,Hémicryptophyte,
Fragaria vesca,98865,hémicryptophyte,Fragaria vesca L.,hsto,hémicryptophytaie,Hémicryptophyte,
Fraxinus excelsior,98921,phanérophyte,Fraxinus excelsior L. ,A-cad,magnophanérophytaie,Phanérophyte,
Fritillaria meleagris,98977,géophyte,Fritillaria meleagris L.,gbul,hémicryptophytaie,Géophyte à bulbe,
Galanthus nivalis,99233,géophyte,Galanthus nivalis L. ,gbul,hémicryptophytaie,Géophyte à bulbe,
Galium odoratum,99488,géophyte,Galium odoratum (L.) Scop.,grhi,hémicryptophytaie,Géophyte à rhizome,
Gentiana lutea,99903,hémicryptophyte,Gentiana lutea L. ,Hros,hémicryptophytaie,Hémicryptophyte,
Gentiana purpurea,99929,hémicryptophyte,Gentiana purpurea L.,hros,hémicryptophytaie,NA,
Glechoma hederacea,100310,hémicryptophyte,Glechoma hederacea L.,hsto,hémicryptophytaie,Hémicryptophyte,
Hedera helix,100787,phanérophyte,Hedera helix L.,A-lia-semp,magnophanérophytaie,Phanérophyte lianescente,
Helichrysum italicum,101080,chaméphyte,Helichrysum italicum (Roth) G.Don ,csuf,chaméphytaie,Chaméphyte,
Heracleum sphondylium,101300,hémicryptophyte,Heracleum sphondylium L.,Hbis,hémicryptophytaie,Hémicryptophyte,
Himantoglossum hircinum,102797,géophyte,Himantoglossum hircinum (L.) Spreng. ,gtub,hémicryptophytaie,Géophyte à tubercule,
Hippocrepis emerus,102845,phanérophyte,Hippocrepis emerus (L.) Lassen ,b-cad,nanophanérophytaie,Phanérophyte,
Hippophae rhamnoides,102863,phanérophyte,Hippophae rhamnoides L. ,b-cad,nanophanérophytaie,Nanophanérophyte,
Humulus lupulus,103031,hémicryptophyte,Humulus lupulus L.,Heri-lia,hémicryptophytaie,Phanérophyte lianescente,
Hydnum repandum,NA,NA,NA,NA,NA,NA,champignon
Hypericum nummularium,103308,hémicryptophyte,Hypericum nummularium L.,hsto,hémicryptophytaie,Hémicryptophyte,
Hypericum perforatum,103316,hémicryptophyte,Hypericum perforatum L.,heri,hémicryptophytaie,Hémicryptophyte,
Hyssopus officinalis,103406,chaméphyte,Hyssopus officinalis L.,csuf,hémicryptophytaie,Chaméphyte,
Ilex aquifolium,103514,phanérophyte,Ilex aquifolium L.,B-semp,microphanérophytaie,Phanérophyte,
Ilex aquifolium,103514,phanérophyte,Ilex aquifolium L.,B-semp,microphanérophytaie,Nanophanérophyte,
