CD_REF,LB_NOM,FAMILLE,FR
120642,Salvia fruticosa,Lamiaceae,M
119097,Rubus fruticosus,Rosaceae,P
113924,Plantago ovata,Plantaginaceae,M
117874,Roemeria argemone,Papaveraceae,P
79319,Abies alba,Pinaceae,P
79325,Abies cephalonica,Pinaceae,I
79333,Abies grandis,Pinaceae,I
79345,Abies nordmanniana,Pinaceae,I
79349,Abies pinsapo,Pinaceae,M
79684,Abutilon theophrasti,Malvaceae,I
79687,Acacia baileyana,Fabaceae,I
79691,Acacia dealbata,Fabaceae,J
835510,Vachellia karroo,Fabaceae,M
79698,Acacia longifolia,Fabaceae,M
79700,Acacia mearnsii,Fabaceae,J
79701,Acacia melanoxylon,Fabaceae,I
79706,Acacia pycnantha,Fabaceae,I
79707,Acacia retinodes,Fabaceae,I
79710,Acacia saligna,Fabaceae,J
79716,Acanthoprasium frutescens,Lamiaceae,P
611761,Acanthus arboreus,Acanthaceae,I
79721,Acanthus mollis,Acanthaceae,P
79734,Acer campestre,Sapindaceae,P
79735,Acer cappadocicum,Sapindaceae,I
79755,Acer japonicum,Sapindaceae,M
79763,Acer monspessulanum,Sapindaceae,P
79766,Acer negundo,Sapindaceae,J
79770,Acer opalus,Sapindaceae,P
79775,Acer palmatum,Sapindaceae,M
79779,Acer platanoides,Sapindaceae,P
79783,Acer pseudoplatanus,Sapindaceae,P
717049,Acer rufinerve,Sapindaceae,I
79788,Acer saccharinum,Sapindaceae,I
79865,Achillea ageratum,Asteraceae,P
79868,Achillea atrata,Asteraceae,P
79874,Achillea chamaemelifolia,Asteraceae,P
896277,Achillea collina,Asteraceae,P
79877,Achillea crithmifolia,Asteraceae,I
79886,Achillea distans,Asteraceae,P
79887,Achillea erba-rotta,Asteraceae,P
79890,Achillea filipendulina,Asteraceae,I
79903,Achillea ligustica,Asteraceae,P
79905,Achillea macrophylla,Asteraceae,P
610735,Achillea maritima,Asteraceae,P
79908,Achillea millefolium,Asteraceae,P
79913,Achillea nana,Asteraceae,P
79914,Achillea nobilis,Asteraceae,P
79915,Achillea odorata,Asteraceae,P
79921,Achillea ptarmica,Asteraceae,P
79923,Achillea roseo-alba,Asteraceae,P
79939,Achillea tomentosa,Asteraceae,P
717051,Achnatherum bromoides,Poaceae,P
79970,Achnatherum calamagrostis,Poaceae,P
610607,Acis fabrei,Amaryllidaceae,E
80000,Acis longifolia,Amaryllidaceae,E
610608,Acis nicaeensis,Amaryllidaceae,E
80003,Acis rosea,Amaryllidaceae,P
80007,Aconitum anthora,Ranunculaceae,P
80034,Aconitum lycoctonum,Ranunculaceae,P
80037,Aconitum napellus,Ranunculaceae,P
80066,Aconitum variegatum,Ranunculaceae,P
80086,Acorus calamus,Acoraceae,I
80137,Actaea spicata,Ranunculaceae,P
80155,Adenocarpus complicatus,Fabaceae,P
80162,Adenocarpus telonensis,Fabaceae,P
80183,Adenostyles alliariae,Asteraceae,P
80184,Adenostyles alpina,Asteraceae,P
80190,Adenostyles leucophylla,Asteraceae,P
447951,Adiantum capillus-veneris,Pteridaceae,P
447953,Adiantum raddianum,Pteridaceae,I
80211,Adonis aestivalis,Ranunculaceae,P
80212,Adonis annua,Ranunculaceae,P
80224,Adonis flammea,Ranunculaceae,P
80232,Adonis microcarpa,Ranunculaceae,I
80238,Adonis pyrenaica,Ranunculaceae,S
80240,Adonis vernalis,Ranunculaceae,P
80243,Adoxa moschatellina,Viburnaceae,P
80263,Aegilops biuncialis,Poaceae,I
159514,Aegilops caudata,Poaceae,M
610756,Aegilops crassa,Poaceae,M
80270,Aegilops cylindrica,Poaceae,I
80278,Aegilops geniculata,Poaceae,P
80282,Aegilops juvenalis,Poaceae,M
80288,Aegilops neglecta,Poaceae,P
80297,Aegilops speltoides,Poaceae,M
80302,Aegilops triuncialis,Poaceae,P
80304,Aegilops ventricosa,Poaceae,I
80322,Aegopodium podagraria,Apiaceae,P
80329,Aeluropus littoralis,Poaceae,P
80332,Aeonium haworthii,Crassulaceae,I
80338,Aesculus carnea,Sapindaceae,M
80334,Aesculus hippocastanum,Sapindaceae,I
80347,Aethionema monospermum,Brassicaceae,P
80350,Aethionema saxatile,Brassicaceae,P
80351,Aethionema thomasianum,Brassicaceae,P
80358,Aethusa cynapium,Apiaceae,P
80383,Agave americana,Asparagaceae,I
610762,Agave salmiana,Asparagaceae,I
80387,Ageratina adenophora,Asteraceae,I
80410,Agrimonia eupatoria,Rosaceae,P
80417,Agrimonia procera,Rosaceae,P
80446,Agropyron cristatum,Poaceae,P
80546,Agrostemma githago,Caryophyllaceae,P
80564,Agrostis alpina,Poaceae,P
80590,Agrostis canina,Poaceae,P
80591,Agrostis capillaris,Poaceae,P
80593,Agrostis castellana,Poaceae,P
80605,Agrostis curtisii,Poaceae,P
80639,Agrostis gigantea,Poaceae,P
80645,Agrostis hesperica,Poaceae,P
610789,Agrostis marysae-tortiae,Poaceae,E
80729,Agrostis rupestris,Poaceae,P
80735,Agrostis scabra,Poaceae,M
80739,Agrostis schleicheri,Poaceae,P
80741,Agrostis schraderiana,Poaceae,P
80759,Agrostis stolonifera,Poaceae,P
80798,Agrostis vinealis,Poaceae,P
