CD_REF,Nom_synonymes_famille,Sauvage_cultive,Repartition,Abondance,Protection,Rang,Regroupement
79319,"Abies alba Mill. [Abies pectinata (Lam.) DC.], Pinaceae",sc,,C,,3,Gymnospermes
79691,"Acacia dealbata Link, Fabaceae",cs,,C,,4,Angiospermes
79734,"Acer campestre L., Sapindaceae",sc,,C,,3,Angiospermes
79766,"Acer negundo L., Sapindaceae",sc,,C,,4,Angiospermes
79887,"Achillea erba-rotta subsp. erba-rotta All. [Achillea moschata Wulfen ], Asteraceae",sc,,D,2,4,Angiospermes
79908,"Achillea millefolium L., Asteraceae",sc,,C,,1,Angiospermes
79913,"Achillea nana L., Asteraceae",s,locale,C,,4,Angiospermes
79921,"Achillea ptarmica L., Asteraceae",s,,C,2,3,Angiospermes
79939,"Achillea tomentosa L., Asteraceae",s,locale,C,8,5,Angiospermes
80007,"Aconitum anthora L., Ranunculaceae",s,,R,4,5,Angiospermes
80034,"Aconitum lycoctonum L., Ranunculaceae",s,,C,8,4,Angiospermes
80037,"Aconitum napellus L., Ranunculaceae",sc,locale,R/C,40,3,Angiospermes
80066,"Aconitum variegatum L., Ranunculaceae",s,,D,20,5,Angiospermes
80086,"Acorus calamus L., Acoraceae",s,,C,,5,Angiospermes
80137,"Actaea spicata L., Ranunculaceae",s,locale,R,8,3,Angiospermes
447951,"Adiantum capillus-veneris L., Pteridaceae",s,locale,R,12,4,Fougères
80212,"Adonis annua L., Ranunculaceae",s,locale,R,,4,Angiospermes
80240,"Adonis vernalis L., Ranunculaceae",s,,D,annexe 2,5,Angiospermes
80322,"Aegopodium podagraria L., Apiaceae",sc,,C,,3,Angiospermes
80358,"Aethusa cynapium L., Apiaceae",sc,,C,,4,Angiospermes
80383,"Agave americana L., Asparagaceae",cs,,C,,4,Angiospermes
80410,"Agrimonia eupatoria L., Rosaceae",sc,,C,,2,Angiospermes
80417,"Agrimonia procera Wallr. [Agrimonia acutifolia Dumort.], Rosaceae",s,,C,,5,Angiospermes
80546,"Agrostemma githago L. [Lychnis githago (L.) Scop. ], Caryophyllaceae",cs,,D,4,4,Angiospermes
80824,"Ailanthus altissima (Mill.) Swingle [Ailanthus glandulosa Desf. ], Simaroubaceae",s,,C,,4,Angiospermes
80978,"Ajuga chamaepitys (L.) Schreb., Lamiaceae",s,,C,5,3,Angiospermes
80980,"Ajuga genevensis L., Lamiaceae",s,,C,,4,Angiospermes
80988,"Ajuga pyramidalis L., Lamiaceae",s,locale,R,,4,Angiospermes
80990,"Ajuga reptans L., Lamiaceae",s,,C,,3,Angiospermes
72459,"Alaria esculenta (L.) Greville, Alariaceae",sc,,C,NA,4,Algue brune
81027,"Alchemilla acutiloba Opiz [Alchemilla vulgaris L.], Rosaceae",sc,,C,,3,Angiospermes
81033,"Alchemilla alpina L., Rosaceae",s,,C,,3,Angiospermes
81287,"Alkanna matthioli Tausch [Alkanna tinctoria auct. Non Tausch,, Anchusa tinctoria (L.) L.], Boraginaceae",sc,locale,D,NA,5,Angiospermes
81295,"Alliaria petiolata (M.Bieb.) Cavara & Grande [Alliaria officinalis Andrz. ex M.Bieb., Erysimum alliaria L., Sisymbrium alliaria (L.) Scop.], Brassicaceae",s,,C,,3,Angiospermes
81499,"Allium roseum L., Amaryllidaceae",s,,C,,5,Angiospermes
81508,"Allium schoenoprasum L., Amaryllidaceae",cs,,R,4,4,Angiospermes
81541,"Allium ursinum L., Amaryllidaceae",sc,,C,,2,Angiospermes
81543,"Allium victorialis L., Amaryllidaceae",s,locale,R,,4,Angiospermes
81563,"Alnus alnobetula (Ehrh.) K.Koch [Alnus viridis (Chaix) DC.], Betulaceae",s,,C,4,4,Angiospermes
81569,"Alnus glutinosa (L.) Gaertn., Betulaceae",s,,C,,3,Angiospermes
81570,"Alnus incana (L.) Moench, Betulaceae",s,,C,,4,Angiospermes
81856,"Althaea officinalis L., Malvaceae",cs,,C,2,3,Angiospermes
82018,"Amaranthus retroflexus L., Amaranthaceae",s,,C,1,4,Angiospermes
82080,"Ambrosia artemisiifolia L., Asteraceae",s,,C,,4,Angiospermes
82130,"Ammi majus L., Apiaceae",s,,C,,4,Angiospermes
618756,"Anchusa italica Retz., Boraginaceae",s,,C,NA,4,Angiospermes
82391,"Anchusa officinalis L., Boraginaceae",s,locale,C,,4,Angiospermes
101253,"Anemone hepatica L. [Hepatica nobilis Schreb., Hepatica triloba Chaix], Ranunculaceae",s,,C,NA,3,Angiospermes
82637,"Anemone nemorosa L., Ranunculaceae",s,,C,,3,Angiospermes
116460,"Anemone pulsatilla L. [Pulsatilla vulgaris Mill., Pulsatilla vulgaris Mill.], Ranunculaceae",s/sc,,R,NA,4,Angiospermes
82656,"Anemone ranunculoides L., Ranunculaceae",s,,R,7,4,Angiospermes
116459,"Anemone vernalis L., Ranunculaceae",s,locale,R,NA,4,Angiospermes
82738,"Angelica sylvestris L., Apiaceae",s,,C,2,2,Angiospermes
82796,"Antennaria dioica (L.) Gaertn. [Gnaphalium dioicum L.], Asteraceae",sc,locale,C,19,4,Angiospermes
82922,"Anthoxanthum odoratum L., Poaceae",s,,C,,4,Angiospermes
82952,"Anthriscus sylvestris (L.) Hoffm., Apiaceae",s,,C,2,5,Angiospermes
82999,"Anthyllis vulneraria L., Fabaceae",s,,C,,2,Angiospermes
83058,"Antirrhinum majus L., Plantaginaceae",sc,locale,C,6,4,Angiospermes
83195,"Apium graveolens L., Apiaceae",cs,,D,2,4,Angiospermes
83267,"Aquilegia vulgaris L., Ranunculaceae",s,,C,2,3,Angiospermes
83481,"Arbutus unedo L., Ericaceae",s,,C,4,3,Angiospermes
83499,"Arctium lappa L. [Arctium majus (Gaertn.) Bernh., Lappa major Gaertn.], Asteraceae",sc/cs,,C,,2,Angiospermes
83502,"Arctium minus (Hill) Bernh., Asteraceae",sc/cs,,C,1,3,Angiospermes
83528,"Arctostaphylos uva-ursi (L.) Spreng. [Arbutus uva-ursi L.], Ericaceae",s,locale,C,8,3,Angiospermes
83653,"Arenaria serpyllifolia L., Caryophyllaceae",s,,C,4,4,Angiospermes
117874,"Argemone mexicana L. [Argemone spinosa Gaterau, Argemone spinosa Moench,], Papaveraceae",cs,,R,,5,Angiospermes
83714,"Argentina anserina (L.) Rydb. [Potentilla anserina L.], Rosaceae",s,,C,,4,Angiospermes
83777,"Aristolochia clematitis L., Aristolochiaceae",s,,C,3,3,Angiospermes
83793,"Aristolochia rotunda L., Aristolochiaceae",s,,C,,4,Angiospermes
83832,"Armeria maritima Willd. [Armeria maritima (Mill.) Willd.], Plumbaginaceae",s,,C,2,4,Angiospermes
83866,"Armoracia rusticana G.Gaertn., B.Mey. & Scherb. [Cochlearia armoracia L.], Brassicaceae",cs,,C,,4,Angiospermes
83874,"Arnica montana L., Asteraceae",sc,locale,C,23,2,Angiospermes
83912,"Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl [Avena elatior L.], Poaceae",s,,C,,4,Angiospermes
83933,"Artemisia absinthium L., Asteraceae",cs,,C,,3,Angiospermes
83938,"Artemisia annua L., Asteraceae",sc,,C,,4,Angiospermes
83969,"Artemisia eriantha Ten. [Artemisia umbelliformis subsp. eriantha (Ten.) Valles-Xirau & Oliva Branas], Asteraceae",,locale,D,4,4,Angiospermes
83973,"Artemisia genipi Weber, Asteraceae",s,locale,R,4,4,Angiospermes
83974,"Artemisia glacialis L., Asteraceae",s,locale,R,4,5,Angiospermes
84003,"Artemisia maritima L., Asteraceae",s,,R,10,5,Angiospermes
