Code_question,Nom
G1Q00003_SQ001,Alsace
G1Q00003_SQ002,Aquitaine
G1Q00003_SQ003,Auvergne
G1Q00003_SQ004,Basse-Normandie
G1Q00003_SQ005,Bourgogne
G1Q00003_SQ006,Bretagne
G1Q00003_SQ008,Centre
G1Q00003_SQ007,Champagne-Ardenne
G1Q00003_SQ009,Corse
G1Q00003_SQ010,Franche-Comte
G1Q00003_SQ013,Haute-Normandie
G1Q00003_SQ014,Ile de France
G1Q00003_SQ015,Languedoc-Roussillon
G1Q00003_SQ016,Limousin
G1Q00003_SQ017,Lorraine
G1Q00003_SQ018,Midi-Pyrenees
G1Q00003_SQ019,Nord-Pas-de-Calais
G1Q00003_SQ020,Pays de la Loire
G1Q00003_SQ021,Picardie
G1Q00003_SQ022,Poitou-Charentes
G1Q00003_SQ023,Provence-Alpes-Cote d'Azur
G1Q00003_SQ024,Rhone-Alpes
